GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
springRest,me.agronaut.springrest.util,LogUtil,0,218,0,40,0,49,0,31,0,11
springRest,me.agronaut.springrest.model,Finance,68,3,0,0,9,1,15,1,15,1
springRest,me.agronaut.springrest.model,Category,10,7,0,0,2,2,3,2,3,2
springRest,me.agronaut.springrest.model,RoleDto,156,0,30,0,6,0,26,0,11,0
springRest,me.agronaut.springrest.model,UserDto,397,0,78,0,12,0,62,0,23,0
springRest,me.agronaut.springrest.model,PasswordDto,358,0,70,0,11,0,56,0,21,0
springRest,me.agronaut.springrest.model,User,4,93,0,0,0,13,1,21,1,21
springRest,me.agronaut.springrest.model,Password,77,3,0,0,10,1,17,1,17,1
springRest,me.agronaut.springrest.model,Role,28,3,0,0,5,1,7,1,7,1
springRest,me.agronaut.springrest.model,FinanceDto,52,0,0,0,9,0,15,0,15,0
springRest,me.agronaut.springrest.model,CategoryDto,115,0,22,0,5,0,20,0,9,0
springRest,me.agronaut.springrest,SpringRestApplication,5,3,0,0,2,1,1,1,1,1
springRest,me.agronaut.springrest.controller,PasswordController,83,12,0,0,12,5,5,1,5,1
springRest,me.agronaut.springrest.controller,LoginController,80,9,0,0,11,4,7,1,7,1
springRest,me.agronaut.springrest.controller,FinanceController,84,16,0,0,18,5,6,1,6,1
springRest,me.agronaut.springrest.config,ExceptionHandler,235,3,0,0,22,1,11,1,11,1
springRest,me.agronaut.springrest.config,WebConfig,0,77,0,0,0,16,0,5,0,5
springRest,me.agronaut.springrest.config,MailConfiguration,0,46,0,0,0,11,0,2,0,2
springRest,me.agronaut.springrest.config,JWTAuthorizationFilter,92,12,12,0,24,4,10,3,4,3
springRest,me.agronaut.springrest.exception,EmailException,4,0,0,0,2,0,1,0,1,0
springRest,me.agronaut.springrest.exception,ApiError,212,0,38,0,7,0,33,0,14,0
springRest,me.agronaut.springrest.service,UserService,247,238,26,14,38,53,22,10,7,5
springRest,me.agronaut.springrest.service,FinanceService,102,15,0,0,16,5,6,1,6,1
springRest,me.agronaut.springrest.service,CategoryService,0,13,0,0,0,4,0,2,0,2
springRest,me.agronaut.springrest.service,EmailService,40,3,2,0,11,1,2,1,1,1
springRest,me.agronaut.springrest.service,UserService.NotActiveUserException,0,4,0,0,0,2,0,1,0,1
springRest,me.agronaut.springrest.service,PasswordService,41,6,0,0,8,3,5,1,5,1
springRest,me.agronaut.springrest.service,UserService.UserExistByEmailException,0,4,0,0,0,2,0,1,0,1
